trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
2033,False,"{'a': 0.6, 'e': 0.054078365698034925}",20,16,10.07192037606696,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2034,False,"{'a': 0.6, 'e': 0.05318351680193556}",25,8,-10.469278097951463,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
2035,False,"{'a': 0.6, 'e': 0.05228911472228254}",25,11,24.040836279151872,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2036,False,"{'a': 0.6, 'e': 0.051395160353477465}",25,15,16.223009246756806,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2037,False,"{'a': 0.6, 'e': 0.0505016545894747}",20,10,-0.7557560349140202,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
2038,False,"{'a': 0.6, 'e': 0.04960859832377945}",20,8,14.024806100540335,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
2039,False,"{'a': 0.6, 'e': 0.0487159924494488}",20,12,14.245615254713094,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2040,False,"{'a': 0.6, 'e': 0.04782383785908806}",25,8,29.800972673308234,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2041,False,"{'a': 0.6, 'e': 0.04693213544485175}",20,12,15.731420825131735,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2042,False,"{'a': 0.6, 'e': 0.04604088609844187}",20,6,26.513954761969682,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2043,False,"{'a': 0.6, 'e': 0.04515009071110848}",20,9,21.499958173845926,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2044,False,"{'a': 0.6, 'e': 0.04425975017364642}",25,17,6.647506313964243,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
2045,False,"{'a': 0.6, 'e': 0.043369865376396255}",20,6,25.02614232595778,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2046,False,"{'a': 0.6, 'e': 0.04248043720924227}",20,12,2.8193616524630616,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
2047,False,"{'a': 0.6, 'e': 0.04159146656161328}",20,3,31.555382597463808,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2048,False,"{'a': 0.6, 'e': 0.04070295432247961}",30,11,36.27708177168153,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
2049,False,"{'a': 0.6, 'e': 0.03981490138035332}",25,14,23.020691479994333,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2050,False,"{'a': 0.6, 'e': 0.03892730862328725}",20,0,31.6384523730644,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2051,False,"{'a': 0.6, 'e': 0.03804017693887379}",25,11,24.649514129769983,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2052,False,"{'a': 0.6, 'e': 0.03715350721424526}",20,16,8.596649722659837,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2053,False,"{'a': 0.6, 'e': 0.03626730033607095}",30,17,7.6307169501837,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
2054,False,"{'a': 0.6, 'e': 0.03538155719055769}",25,13,24.801148274186204,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2055,False,"{'a': 0.6, 'e': 0.03449627866344812}",30,15,31.750224947927723,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2056,False,"{'a': 0.6, 'e': 0.03361146564002149}",25,11,25.682544243288213,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2057,False,"{'a': 0.6, 'e': 0.03272711900509029}",20,5,26.406729110444093,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2058,False,"{'a': 0.6, 'e': 0.03184323964300123}",20,8,12.431535243218425,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
2059,False,"{'a': 0.6, 'e': 0.030959828437633063}",20,16,8.269364632841764,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2060,False,"{'a': 0.6, 'e': 0.030076886272397796}",30,21,19.29830537074545,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2061,False,"{'a': 0.6, 'e': 0.029194414030237092}",25,12,25.581914622405435,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2062,False,"{'a': 0.6, 'e': 0.028312412593623104}",20,8,5.893243617887291,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
2063,False,"{'a': 0.6, 'e': 0.02743088284455686}",25,10,25.673956008078328,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2064,False,"{'a': 0.6, 'e': 0.02654982566456876}",20,0,32.783543974036505,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
2065,False,"{'a': 0.6, 'e': 0.025669241934715537}",20,11,13.170060552708687,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2066,False,"{'a': 0.6, 'e': 0.02478913253558085}",20,10,20.161424033491578,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2067,False,"{'a': 0.6, 'e': 0.023909498347273628}",30,21,18.31724768229765,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2068,False,"{'a': 0.6, 'e': 0.023030340249428793}",25,17,6.79469862228121,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
2069,False,"{'a': 0.6, 'e': 0.02215165912120398}",25,14,21.92373536555001,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2070,False,"{'a': 0.6, 'e': 0.02127345584128021}",30,12,35.35144209175694,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
2071,False,"{'a': 0.6, 'e': 0.020395731287860264}",20,10,21.94706029194853,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2072,False,"{'a': 0.6, 'e': 0.01951848633866954}",30,20,13.624649676681045,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
2073,False,"{'a': 0.6, 'e': 0.018641721870952366}",20,3,28.309843117925055,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2074,False,"{'a': 0.6, 'e': 0.01776543876147324}",25,10,28.10251517036749,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2075,False,"{'a': 0.6, 'e': 0.016889637886514763}",20,12,15.122457933114527,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2076,False,"{'a': 0.6, 'e': 0.016014320121878534}",20,11,13.073676707199631,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2077,False,"{'a': 0.6, 'e': 0.01513948634288187}",25,8,29.5506783677163,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2078,False,"{'a': 0.6, 'e': 0.01426513742435842}",20,11,19.103090119665566,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2079,False,"{'a': 0.6, 'e': 0.013391274240656725}",20,12,16.426060233479298,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2080,False,"{'a': 0.6, 'e': 0.012517897665640598}",20,16,7.903043851352549,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2081,False,"{'a': 0.6, 'e': 0.011645008572686188}",20,9,18.533743808138865,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2082,False,"{'a': 0.6, 'e': 0.010772607834682535}",20,0,34.39922073602432,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
2083,False,"{'a': 0.6, 'e': 0.009900696324029845}",20,16,9.023837346082631,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,20,12.846790936435589,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,11,24.167699163633635,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,10,29.24849279355697,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,16,7.263532263661523,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,10,22.524432097535716,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",30,19,18.939951305757695,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,3,34.27410694264214,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",30,12,30.28091185288346,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",30,13,37.34463223759669,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,15,12.160393210306331,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0, 'e': 0}",25,11,24.86485325227378,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0, 'e': 0}",30,20,19.613082554720997,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0, 'e': 0}",20,10,18.723194226443265,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0, 'e': 0}",35,17,34.02882488965363,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0, 'e': 0}",20,9,22.88373835164463,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,True,"{'a': 0, 'e': 0}",20,6,28.789267880574183,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,True,"{'a': 0, 'e': 0}",30,16,24.81972294972139,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,True,"{'a': 0, 'e': 0}",20,14,13.36861469526546,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'a': 0, 'e': 0}",20,8,23.496632924299075,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,True,"{'a': 0, 'e': 0}",20,11,17.26068967041637,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,True,"{'a': 0, 'e': 0}",20,10,20.99554141549428,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,True,"{'a': 0, 'e': 0}",25,8,31.76009414100214,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,True,"{'a': 0, 'e': 0}",30,13,31.501586725347458,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,True,"{'a': 0, 'e': 0}",20,13,15.149349345476447,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,True,"{'a': 0, 'e': 0}",25,19,11.411852924717289,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,True,"{'a': 0, 'e': 0}",30,12,36.09399215928709,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,True,"{'a': 0, 'e': 0}",25,11,26.490746759487443,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,True,"{'a': 0, 'e': 0}",25,7,34.597773541080244,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,True,"{'a': 0, 'e': 0}",30,19,23.98673944046195,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,True,"{'a': 0, 'e': 0}",20,6,26.126701998566404,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,True,"{'a': 0, 'e': 0}",30,18,26.00252480563801,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,True,"{'a': 0, 'e': 0}",25,10,27.700298822141676,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,True,"{'a': 0, 'e': 0}",20,0,35.09341221267982,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
34,True,"{'a': 0, 'e': 0}",20,6,27.806229492603723,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,True,"{'a': 0, 'e': 0}",30,12,33.58342993764947,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,True,"{'a': 0, 'e': 0}",20,6,26.355069998884158,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,True,"{'a': 0, 'e': 0}",20,8,27.830206404528372,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,True,"{'a': 0, 'e': 0}",20,8,23.990542905817993,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,True,"{'a': 0, 'e': 0}",20,15,10.175017504358461,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,True,"{'a': 0, 'e': 0}",25,11,25.916114311016205,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,True,"{'a': 0, 'e': 0}",35,17,35.79911658186485,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,True,"{'a': 0, 'e': 0}",20,14,10.204258748083442,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,True,"{'a': 0, 'e': 0}",25,8,32.24610873532879,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,True,"{'a': 0, 'e': 0}",30,15,25.322003517186257,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,True,"{'a': 0, 'e': 0}",20,10,20.964333241397608,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,True,"{'a': 0, 'e': 0}",25,16,17.552543346952973,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,True,"{'a': 0, 'e': 0}",20,16,8.359583768181995,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,True,"{'a': 0, 'e': 0}",20,11,18.998697878127032,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,True,"{'a': 0, 'e': 0}",20,6,29.769718537486433,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,True,"{'a': 0, 'e': 0}",25,12,23.42423895524518,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,True,"{'a': 0, 'e': 0}",20,2,29.623409918693543,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,True,"{'a': 0, 'e': 0}",20,12,14.407868656375815,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,True,"{'a': 0, 'e': 0}",20,16,8.647315825541748,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,True,"{'a': 0, 'e': 0}",20,12,15.816556959219119,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,True,"{'a': 0, 'e': 0}",25,18,16.121108286589994,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,True,"{'a': 0, 'e': 0}",20,16,6.215184444357073,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,True,"{'a': 0, 'e': 0}",25,13,25.32750178921317,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,True,"{'a': 0, 'e': 0}",25,10,32.45123678389982,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,True,"{'a': 0, 'e': 0}",25,13,23.322737870913095,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
